Name,MarketCap,Stock,Country,Sector,Industry
Apple Inc.,$2.825 T,AAPL,United States,Technology,Consumer Electronics
Microsoft Corporation,$2.328 T,MSFT,United States,Technology,Software—Infrastructure
Saudi Arabian Oil Company,$2.297 T,2222,Saudi Arabia,Energy,Oil & Gas Integrated
Alphabet Inc.,$1.825 T,GOOG,United States,Communication Services,Internet Content & Information
"Amazon.com, Inc.",$1.642 T,AMZN,United States,Consumer Discretionary,Internet Retail
"Tesla, Inc.",$1.016 T,TSLA,United States,Consumer Discretionary,Auto Manufacturers
Berkshire Hathaway Inc.,$798.47 B,BRK.A,United States,Financials,Financial Conglomerates
Nvidia Corporation,$660.38 B,NVDA,United States,Technology,Semiconductors
"Meta Platforms, Inc.",$617.50 B,META,United States,Communication Services,Internet Content & Information
Taiwan Semiconductor Manufacturing Company Limited,$527.89 B,2330,Taiwan,Technology,Semiconductors
UnitedHealth Group Incorporated,$488.52 B,UNH,United States,Healthcare,Healthcare Plans
Visa Inc.,$486.77 B,V,United States,Financials,Credit Services
Johnson & Johnson,$475.93 B,JNJ,United States,Healthcare,Drug Manufacturers—General
Tencent Holdings Ltd,$441.17 B,0700,China,Communication Services,Internet Content & Information
Walmart Inc.,$429.05 B,WMT,United States,Consumer Staples,Discount Stores
JPMorgan Chase & Co.,$410.84 B,JPM,United States,Financials,Banks
The Procter & Gamble Company,$384.60 B,PG,United States,Consumer Staples,Household & Personal Products
"Samsung Electronics Co., Ltd.",$378.35 B,005930,South Korea,Technology,Consumer Electronics
"LVMH Moët Hennessy - Louis Vuitton, SE",$359.26 B,MC,France,Consumer Discretionary,Luxury Goods
Mastercard Incorporated,$358.60 B,MA,United States,Financials,Credit Services
Bank of America Corporation,$350.84 B,BAC,United States,Financials,Banks
Roche Holding AG,$349.50 B,ROG,Switzerland,Healthcare,Drug Manufacturers—General
Exxon Mobil Corporation,$348.72 B,XOM,United States,Energy,Oil & Gas Integrated
Kweichow Moutai Co. Ltd,$348.22 B,600519,China,Consumer Staples,Beverages—Wineries & Distilleries
"The Home Depot, Inc.",$321.47 B,HD,United States,Consumer Discretionary,Home Improvement Retail
Chevron Corporation,$315.13 B,CVX,United States,Energy,Oil & Gas Integrated
Pfizer Inc.,$300.79 B,PFE,United States,Healthcare,Drug Manufacturers—General
AbbVie Inc.,$294.27 B,ABBV,United States,Healthcare,Drug Manufacturers—General
Alibaba Group Holding Limited,$290.40 B,9988,China,Consumer Discretionary,Internet Retail
ASML Holding N.V.,$274.35 B,ASML,Netherlands,Technology,Semiconductor Equipment & Materials
The Coca-Cola Company,$273.20 B,KO,United States,Consumer Staples,Beverages—Non-Alcoholic
Eli Lilly and Company,$273.01 B,LLY,United States,Healthcare,Drug Manufacturers—General
Broadcom Inc.,$265.27 B,AVGO,United States,Technology,Semiconductors
Costco Wholesale Corporation,$258.15 B,COST,United States,Consumer Staples,Discount Stores
Novo Nordisk A/S,$257.24 B,NOVO.B,Denmark,Healthcare,Biotechnology
Industrial & Commercial Bank of China Ltd,$250.37 B,601398,China,Financials,Banks
The Walt Disney Company,$247.88 B,DIS,United States,Communication Services,Entertainment
"PepsiCo, Inc.",$241.05 B,PEP,United States,Consumer Staples,Beverages—Non-Alcoholic
"Cisco Systems, Inc.",$238.45 B,CSCO,United States,Technology,Communication Equipment
Thermo Fisher Scientific Inc.,$236.15 B,TMO,United States,Healthcare,Diagnostics & Research
Oracle Corporation,$228.18 B,ORCL,United States,Technology,Software—Infrastructure
L'Oréal SA,$225.24 B,OR,France,Consumer Staples,Household & Personal Products
Accenture plc,$219.03 B,ACN,Ireland,Technology,Information Technology Services
Comcast Corporation,$218.90 B,CMCSA,United States,Communication Services,Entertainment
Verizon Communications Inc.,$216.68 B,VZ,United States,Communication Services,Telecom Services
Abbott Laboratories,$215.02 B,ABT,United States,Healthcare,Medical Devices
"Nike, Inc.",$213.60 B,NKE,United States,Consumer Discretionary,Footwear & Accessories
BHP Group,$211.25 B,BHP,Australia,Basic Materials,Other Industrial Metals & Mining
"Merck & Co., Inc.",$210.38 B,MRK,United States,Healthcare,Drug Manufacturers—General
Danaher Corporation,$208.03 B,DHR,United States,Healthcare,Diagnostics & Research
Shell plc,$207.68 B,SHEL,United Kingdom,Energy,Oil & Gas Integrated
Novartis AG,$204.13 B,NOVN,Switzerland,Healthcare,Drug Manufacturers—General
AstraZeneca plc,$201.75 B,AZN,United Kingdom,Healthcare,Drug Manufacturers—General
Intel Corporation,$201.72 B,INTC,United States,Technology,Semiconductors
Wells Fargo & Company,$200.01 B,WFC,United States,Financials,Banks
Adobe Inc.,$199.57 B,ADBE,United States,Technology,Software—Infrastructure
"salesforce.com, inc.",$193.80 B,CRM,United States,Technology,Software—Application
"United Parcel Service, Inc.",$190.50 B,UPS,United States,Industrials,Integrated Freight & Logistics
China Construction Bank Corp,$189.37 B,601939,China,Financials,Banks
McDonald's Corporation,$186.57 B,MCD,United States,Consumer Discretionary,Restaurants
China Merchants Bank Co Ltd,$185.98 B,600036,China,Financials,Banks
Contemporary Amperex Technology Co. Ltd,$185.67 B,300750,China,Industrials,Electrical Equipment & Parts
Union Pacific Corporation,$184.19 B,UNP,United States,Industrials,Railroads
