name,market_capitalization_USD,price,country
Apple,2062000000000.0,130.0,USA
Saudi Aramco,1848000000000.0,8.0,S. Arabia
Microsoft,1676000000000.0,225.0,USA
Alphabet (Google),1137000000000.0,88.0,USA
Amazon,878160000000.0,86.0,USA
Berkshire Hathaway,702840000000.0,319.0,USA
Johnson & Johnson,471260000000.0,180.0,USA
Visa,461110000000.0,218.0,USA
UnitedHealth,457830000000.0,490.0,USA
Exxon Mobil,455190000000.0,111.0,USA
Tencent,436090000000.0,46.0,China
TSMC,404870000000.0,78.0,Taiwan
JPMorgan Chase,404600000000.0,138.0,USA
LVMH,400240000000.0,788.0,France
Walmart,395830000000.0,147.0,USA
NVIDIA,370280000000.0,149.0,USA
Procter & Gamble,364740000000.0,154.0,USA
Tesla,357010000000.0,113.0,USA
Mastercard,353500000000.0,368.0,USA
Eli Lilly,344850000000.0,363.0,USA
Chevron,341400000000.0,177.0,USA
Meta Platforms (Facebook),340930000000.0,130.0,USA
Kweichow Moutai,329340000000.0,262.0,China
Nestlé,326280000000.0,119.0,Switzerland
Home Depot,323620000000.0,318.0,USA
Novo Nordisk,311970000000.0,139.0,Denmark
Samsung,311550000000.0,46.0,S. Korea
AbbVie,294540000000.0,167.0,USA
Merck,291160000000.0,115.0,USA
Pfizer,285820000000.0,51.0,USA
Alibaba,284340000000.0,107.0,China
Bank of America,276050000000.0,34.0,USA
Coca-Cola,274170000000.0,63.0,USA
Roche,258320000000.0,314.0,Switzerland
Pepsico,249500000000.0,181.0,USA
Broadcom,245890000000.0,588.0,USA
ASML,240640000000.0,596.0,Netherlands
Oracle,230960000000.0,86.0,USA
AstraZeneca,219450000000.0,71.0,UK
ICBC,214970000000.0,1.0,China
Costco,214260000000.0,483.0,USA
Thermo Fisher Scientific,209820000000.0,535.0,USA
Reliance Industries,207930000000.0,31.0,India
Shell,206370000000.0,57.0,UK
L'Oréal,203250000000.0,378.0,France
Novartis,199600000000.0,92.0,Switzerland
Cisco,198500000000.0,48.0,USA
McDonald,197360000000.0,269.0,USA
Abbott Laboratories,195850000000.0,112.0,USA
Nike,194830000000.0,125.0,USA
Toyota,191820000000.0,139.0,Japan
T-Mobile US,184840000000.0,149.0,USA
Danaher,183800000000.0,252.0,USA
Verizon,177190000000.0,42.0,USA
Hermès,175670000000.0,1676.0,France
Walt Disney,171270000000.0,94.0,USA
Accenture,169660000000.0,269.0,Ireland
BHP Group,167110000000.0,66.0,Australia
Nextera Energy,166220000000.0,84.0,USA
Comcast,163810000000.0,38.0,USA
Wells Fargo,163080000000.0,43.0,USA
China Construction Bank,161340000000.0,1.0,China
Philip Morris,160430000000.0,103.0,USA
Texas Instruments,158970000000.0,175.0,USA
Charles Schwab,157810000000.0,85.0,USA
Linde,155720000000.0,316.0,UK
Bristol-Myers Squibb,155200000000.0,73.0,USA
United Parcel Service,154770000000.0,179.0,USA
Adobe,154690000000.0,333.0,USA
Prosus,153640000000.0,77.0,Netherlands
TotalEnergies,153350000000.0,62.0,France
Raytheon Technologies,150620000000.0,102.0,USA
CATL,150080000000.0,61.0,China
China Mobile,149060000000.0,7.0,China
Morgan Stanley,147980000000.0,88.0,USA
ConocoPhillips,147320000000.0,118.0,USA
Amgen,146840000000.0,275.0,USA
Agricultural Bank of China,146200000000.0,0.0,China
Meituan,144720000000.0,23.0,China
Tata Consultancy Services,142350000000.0,39.0,India
CM Bank,142160000000.0,6.0,China
Dior,142000000000.0,782.0,France
Honeywell,141360000000.0,210.0,USA
Salesforce,140500000000.0,141.0,USA
Netflix,140420000000.0,316.0,USA
AT&T,139190000000.0,20.0,USA
HSBC,137020000000.0,34.0,UK
Royal Bank Of Canada,135090000000.0,97.0,Canada
AIA,132370000000.0,11.0,Hong Kong
Ping An Insurance,132050000000.0,7.0,China
Union Pacific Corporation,130340000000.0,212.0,USA
Unilever,129930000000.0,51.0,UK
Caterpillar,129500000000.0,249.0,USA
QUALCOMM,129290000000.0,115.0,USA
Bank of China,129290000000.0,0.0,China
IBM,128800000000.0,144.0,USA
SAP,127660000000.0,109.0,Germany
Deere & Company,127180000000.0,426.0,USA
Boeing,126940000000.0,213.0,USA
PetroChina,126620000000.0,1.0,China
China Life Insurance,125360000000.0,5.0,China
Anheuser-Busch Inbev,125300000000.0,61.0,Belgium
HDFC Bank,125290000000.0,67.0,India
Lockheed Martin,124020000000.0,473.0,USA
Sanofi,123030000000.0,48.0,France
Starbucks,122450000000.0,107.0,USA
Lowe's Companies,121520000000.0,201.0,USA
Pinduoduo,121330000000.0,96.0,China
CVS Health,120350000000.0,92.0,USA
Rio Tinto,120050000000.0,74.0,UK
Intel,118560000000.0,29.0,USA
Goldman Sachs,117870000000.0,348.0,USA
Toronto Dominion Bank,117800000000.0,64.0,Canada
Commonwealth Bank,117650000000.0,70.0,Australia
Siemens,113590000000.0,143.0,Germany
Elevance Health,113550000000.0,475.0,USA
S&P Global,113320000000.0,348.0,USA
American Express,112210000000.0,150.0,USA
BlackRock,110840000000.0,738.0,USA
Gilead Sciences,110470000000.0,88.0,USA
Jingdong Mall,109910000000.0,64.0,China
Intuit,108580000000.0,387.0,USA
Prologis,107670000000.0,117.0,USA
Medtronic,107550000000.0,81.0,Ireland
Wuliangye Yibin,107450000000.0,28.0,China
BP,104370000000.0,34.0,UK
Deutsche Telekom,103540000000.0,21.0,Germany
AMD,103120000000.0,64.0,USA
Sony,101890000000.0,81.0,Japan
American Tower,101730000000.0,219.0,USA
Diageo,101530000000.0,179.0,UK
Automatic Data Processing,99620000000.0,240.0,USA
Equinor,99460000000.0,32.0,Norway
NTT (Nippon Telegraph & Telephone),98830000000.0,29.0,Japan
BYD,98610000000.0,39.0,China
Stryker Corporation,96970000000.0,256.0,USA
Airbus,96780000000.0,123.0,Netherlands
TJX Companies,95580000000.0,83.0,USA
Intuitive Surgical,95550000000.0,270.0,USA
Chubb,94980000000.0,229.0,Switzerland
Estee Lauder,94130000000.0,264.0,USA
Keyence,93710000000.0,386.0,Japan
Mondelez,92880000000.0,68.0,USA
Cigna,92540000000.0,303.0,USA
Porsche,91830000000.0,101.0,Germany
Citigroup,91630000000.0,47.0,USA
British American Tobacco,90970000000.0,41.0,UK
CSL,90620000000.0,188.0,Australia
Allianz,89930000000.0,223.0,Germany
Mitsubishi UFJ Financial,89730000000.0,7.0,Japan
Inditex,89720000000.0,14.0,Spain
Applied Materials,88010000000.0,104.0,USA
PayPal,87180000000.0,76.0,USA
Merck KGaA,85660000000.0,197.0,Germany
Marsh & McLennan Companies,84790000000.0,171.0,USA
Booking Holdings (Booking.com),84530000000.0,2179.0,USA
Analog Devices,84290000000.0,166.0,USA
Schneider Electric,83630000000.0,149.0,France
Glencore,83550000000.0,6.0,Switzerland
Canadian National Railway,83530000000.0,122.0,Canada
Altria Group,83240000000.0,46.0,USA
Enbridge,82670000000.0,41.0,Canada
EssilorLuxottica,82470000000.0,185.0,France
Vale,82360000000.0,18.0,Brazil
LG Energy Solution,81540000000.0,349.0,S. Korea
Duke Energy,80990000000.0,105.0,USA
Compagnie Financière Richemont,80710000000.0,142.0,Switzerland
Al Rajhi Bank,80610000000.0,20.0,S. Arabia
Regeneron Pharmaceuticals,80270000000.0,737.0,USA
Northrop Grumman,80250000000.0,521.0,USA
Progressive,78740000000.0,135.0,USA
General Electric,78600000000.0,72.0,USA
Air Liquide,78060000000.0,149.0,France
Southern Company,77980000000.0,72.0,USA
Volkswagen,77720000000.0,135.0,Germany
Schlumberger,77280000000.0,55.0,USA
BNP Paribas,76770000000.0,62.0,France
China Shenhua Energy,76120000000.0,4.0,China
Infosys,75410000000.0,18.0,India
EOG Resources,74870000000.0,127.0,USA
Mercedes-Benz,74850000000.0,70.0,Germany
Vertex Pharmaceuticals,74490000000.0,290.0,USA
ICICI Bank,74440000000.0,21.0,India
ServiceNow,74030000000.0,367.0,USA
Becton Dickinson,73720000000.0,259.0,USA
